タグ	使用頻度	略語	英文	和訳	説明	具体例
RST,詳細	5	T9	Extremely pure tone, crystal clear	非常に純粋で澄んだ音	澄んだ音。	澄んだ音「UR T9 XTAL」で完璧な音質。
設備,用語	2	TEMP	Temperature	温度	温度。	「TEMP 20C」で温度。
設備,用語	2	TFC	Traffic	トラフィック	トラフィック。	「TFC 5」で5通。
設備,用語	2	TMW	Tomorrow	明日	明日。	「TMW 0800」で明日朝。
設備,用語	5	TNX	Thanks	ありがとう	感謝。	感謝「TNX FER CALL UR 599」で呼出に感謝。
設備,用語	2	TRBL	Trouble	トラブル	トラブル。	「TRBL ANT」でアンテナ問題。
設備,用語	2	TRE	There	そこ	そこ。	「TRE QTH」でそこ位置。
設備,用語	2	TRIX	Tricks	トリック	トリック。	「TRIX HI」でトリック笑い。
設備,用語	3	TRX	Transceiver	トランシーバー	トランシーバー。	「TRX IC-7610」で機種。
設備,用語	2	TT	That	それ	それ。	「TT QSL」でそれ確認。
設備,用語	2	TTS	That is	つまり	つまり。	「TTS DX」でつまりDX。
確認,返答	5	TU	Thank you	ありがとう	感謝の意を伝える。	礼「TU CUAGN 73」で感謝と再会希望。
設備,用語	2	TVI	Television Interference	テレビ干渉	テレビ干渉。	「TVI BAD」でTV妨害。
設備,用語	4	TX	Transmitter	送信機	送信機。	送信機「TX NOW」で送信開始。
設備,用語	2	TXT	Text	テキスト	テキスト。	「TXT MSG」でテキスト。
設備,用語	4	U	You	あなた	あなた。	「U OM」であなた男性。
設備,用語	3	UFB	Ultra Fine Business	大変素晴らしい	大変素晴らしい。	大変素晴らしい「UFB SIG OM」で大変良い信号。
設備,用語	5	UR	Your, You're	あなたの/あなたは	所有格。	所有格「UR SIG 599 FB」であなたの信号報告。
設備,用語	2	URS	Yours	あなたの	あなたの。	「URS QTH」であなたの位置。
設備,用語	3	VERT	Vertical Antenna	垂直アンテナ	垂直アンテナ。	「VERT GP」で垂直。
設備,用語	3	VFB	Very Fine Business	とても素晴らしい	とても素晴らしい。	とても良い「VFB QSO OM」でとても素晴らしい交信。
設備,用語	3	VFO	V.F.O.	可変周波発振器	可変周波発振器。	「VFO A」でVFO選択。
設備,用語	4	VY	Very	とても	強調。	強調「VY FB OM TNX」でとても良い。
設備,用語	2	WID	With	と一緒に	と一緒に。	「WID OM」で一緒に。
設備,用語	4	WKD	Worked	交信した	交信した。	交信済み「WKD JA1ABC B4」で以前交信。
設備,用語	3	WKG	Working	交信中	交信中。	「WKG DX」でDX中。
設備,用語	3	WL	Will 、 Well	する、では	するでは。	「WL TRY」でするよ。
設備,用語	3	WPM	Words Per Minute	毎分語数	毎分語数。	「WPM 20」で速度。
設備,用語	2	WRK	Work	仕事	仕事。	「WRK QSL」でQSL仕事。
設備,用語	2	WTS	watts	ワット	ワット。	「WTS 100」で100W。
設備,用語	2	WUD	Would	するだろう	するだろう。	「WUD QSY」で変更するよ。
設備,用語	2	WW	World Wide	世界規模	世界規模。	「WW CQ」で世界呼び。
設備,用語	4	WX	Weather	天気	天気報告。	天気報告「WX CLR TEMP 20C」で晴れ20度。
設備,用語	2	XCVR	Transceiver	トランシーバー	トランシーバー。	「XCVR FTDX」で機種。
設備,用語	2	XMAS	Christmas	クリスマス	クリスマス。	「XMAS HNY」でクリスマス。
設備,用語	2	XMTR	Transmitter	送信機	送信機。	「XMTR PWR」で送信機電力。
設備,用語	3	XTAL	Crystal	水晶	水晶。	「XTAL FREQ」で水晶周波数。
設備,用語	2	XYL	Wife (ex-young lady)	妻(既婚女性局員)	妻を指す。	妻「161 XYL」で妻によろしく。
設備,用語	2	YF	Wife	妻	妻。	「YF XYL」で妻。
設備,用語	3	YL	Young lady	女性局員	女性オペレーター。	女性局「YL 73」で女性オペレーター。
設備,用語	2	YTD	Yesterday	昨日	昨日。	「YTD QSO」で昨日交信。
設備,用語	2	Z	Zulu	世界標準時	世界標準時。	「Z 0000」でUTC。
